round,score,survival time,total rewards
399,8,174,480
400,3,48,180
401,1,22,0
402,11,116,660
403,1,16,60
404,9,253,540
405,8,57,480
406,4,128,240
407,0,8,0
408,15,123,900
409,2,14,120
410,11,55,660
411,5,38,300
412,5,16,300
413,9,65,540
414,9,56,540
415,9,124,540
416,4,222,180
417,11,282,660
418,7,166,420
419,6,70,300
420,5,332,300
421,3,109,180
422,8,81,480
423,7,56,420
424,12,71,720
425,4,108,180
426,3,15,180
427,6,50,360
428,2,18,120
429,9,56,480
430,12,184,720
431,1,39,60
432,5,44,300
433,4,188,240
434,5,23,300
435,0,21,0
436,11,51,660
437,0,4,0
438,2,96,120
439,12,48,720
440,2,79,120
441,8,123,480
442,15,253,900
443,2,66,120
444,13,366,780
445,1,125,60
446,9,131,540
447,1,38,0
448,8,54,420
449,2,400,120
450,8,194,480
451,0,13,0
452,14,158,780
453,7,118,420
454,0,5,0
455,3,13,120
456,2,24,120
457,1,93,60
458,5,72,300
459,1,27,0
460,0,26,0
461,5,72,240
462,10,73,600
463,1,14,60
464,3,35,120
465,0,4,0
466,4,21,240
467,1,125,60
468,2,39,60
469,10,42,600
470,8,147,420
471,3,56,120
472,19,195,1140
473,5,40,300
474,1,15,60
475,0,10,0
476,4,24,240
477,0,117,0
478,7,168,420
479,1,64,60
480,15,74,840
481,0,5,0
482,8,103,480
483,11,199,660
484,7,70,420
485,8,54,480
486,9,73,540
487,11,137,660
488,0,16,0
489,1,47,60
490,0,13,0
491,3,105,180
492,10,400,540
493,0,55,0
494,11,125,660
495,8,141,480
496,3,58,180
497,0,28,0
498,2,25,120
499,1,110,60
500,5,400,300
501,0,28,0
502,13,79,780
503,2,13,60
504,6,221,300
505,2,179,120
506,0,14,0
507,9,143,540
508,11,93,660
509,4,34,240
510,1,9,60
511,2,117,60
512,12,146,720
513,6,54,360
514,3,40,120
515,10,320,540
516,0,22,0
517,6,66,300
518,2,238,120
519,7,104,420
520,2,18,120
521,2,76,120
522,13,400,780
523,13,160,780
524,13,150,780
525,12,130,720
526,13,222,720
527,12,103,720
528,1,18,60
529,1,47,60
530,2,186,120
531,9,30,540
532,1,6,0
533,1,10,60
534,2,193,120
535,0,29,0
536,4,25,240
537,10,400,600
538,10,42,600
539,1,7,0
540,0,8,0
541,2,45,60
542,10,115,600
543,10,190,600
544,0,9,0
545,0,91,0
546,8,108,480
547,11,192,660
548,0,69,0
549,2,48,120
550,0,44,0
551,5,205,240
552,11,68,600
553,0,8,0
554,0,6,0
555,11,137,660
556,0,4,0
557,7,32,420
558,3,43,180
559,12,68,720
560,0,11,0
