round,score,survival time,total rewards,cc
1,0,5,-255,0
2,0,154,-770,0
3,0,40,-235,0
4,0,67,-380,0
5,0,13,-130,0
6,0,10,-100,0
7,0,5,-95,0
8,0,93,-510,0
9,0,5,-555,0
10,0,4,-435,0
11,0,4,-230,0
12,0,4,-120,0
13,0,9,-270,0
14,0,53,-490,0
15,0,39,-315,0
16,0,11,-125,0
17,0,27,-265,0
18,0,5,-60,0
19,0,43,-250,0
20,0,14,-135,0
21,0,38,-260,0
22,0,274,-585,0
23,0,8,-75,0
24,0,5,-150,0
25,0,8,-110,0
26,0,33,-225,0
27,0,7,-150,0
28,0,62,-425,0
29,0,4,-135,0
30,0,4,-130,0
