round,score,survival time,total rewards
380,2,74,930
381,1,71,1230
382,0,12,190
383,0,35,360
384,0,28,370
385,1,36,530
386,0,16,-240
387,0,19,200
388,1,60,1045
389,0,12,150
390,0,18,-510
391,1,51,1115
392,0,69,825
393,2,73,1720
394,2,44,900
395,0,53,625
396,0,5,100
397,0,46,325
398,2,174,2550
399,1,37,675
400,0,13,20
